iter	RMSE
0	24.4063343
1	23.69193101
2	22.9574832
3	22.34887431
4	21.79370176
5	21.29623613
6	20.81299305
7	20.38298675
8	20.01134981
9	19.69814691
10	19.39014882
11	19.13227518
12	18.910316
13	18.69286934
14	18.51516073
15	18.35267806
16	18.19723763
17	18.07104762
18	17.92598184
19	17.79752359
20	17.70906408
21	17.63561066
22	17.53896948
23	17.45247142
24	17.39005533
25	17.32987273
26	17.26769354
27	17.23101445
28	17.1788258
29	17.13440124
30	17.10023084
31	17.06386075
32	17.03703735
33	17.01439493
34	16.98748382
35	16.96286046
36	16.95143716
37	16.935857
38	16.91660009
39	16.90486282
40	16.89173059
41	16.87638972
42	16.86498971
43	16.85220549
44	16.83915047
45	16.83105848
46	16.82065721
47	16.81315666
48	16.80528193
49	16.79447701
50	16.78572806
51	16.7778914
52	16.77460227
53	16.76908211
54	16.76302396
55	16.75641788
56	16.74911538
57	16.73719189
58	16.73206165
59	16.72613336
60	16.72081113
61	16.71574374
62	16.70992372
63	16.70684882
64	16.70339244
65	16.6990255
66	16.69140788
67	16.68679195
68	16.68238492
69	16.67821417
70	16.67525085
71	16.67071433
72	16.66828093
73	16.66631486
74	16.66343684
75	16.65754845
76	16.65298823
77	16.65066212
78	16.64959013
79	16.64916412
80	16.64566611
81	16.64399981
82	16.63893706
83	16.63546883
84	16.63368517
85	16.63035247
86	16.62788908
87	16.62459575
88	16.62241533
89	16.62130973
90	16.61923764
91	16.61766588
92	16.61546213
93	16.61369332
94	16.61223764
95	16.61128569
96	16.60934512
97	16.60900341
98	16.60788437
99	16.60548898
100	16.60347788
101	16.60196568
102	16.59964451
103	16.59733688
104	16.59564941
105	16.59494156
106	16.59295901
107	16.5923178
108	16.590109	16109	16.58826926
110	16.58644123
111	16.58501576
112	16.58389901
113	16.58114	16.114	16.58115	16.115	16.58116	16.116	16.57117	16.117	16.57118	16.118	16.57119	16.119	16.57120	16.120	16.57121	16.121	16.57122	16.122	16.57123	16.123	16.5124	16.6124	16.5125	16.125	16.56907706
126	16.56810445
127	16.56695981
128	16.56500729
129	16.56130	16.130	16.56131	16.131	16.56132	16.132	16.56133	16.133	16.55134	16.134	16.55135	16135	16.557136	16136	16.55137	16.137	16.55602279
138	16.55556619
139	16.55478207
140	16.55367215
